Dormamu's Defeat,6,Galdr,Arcane,Skip target player's turn. If this card has two or more charge counters on it remove all charge counters from that players chambered cards
Maleficent's Curse,9,Galdr,Arcane,Cursed character dies if they lose a match. 
Up the Stakes,8,Galdr,Arcane,Whoever has a higher life total at the end of this round wins the match. Gain life equal to the number of charge counters on this card
Chromatic Orb,3,Galdr-Hex,Arcane,"Hexed player chooses a magic type, spells cast by that player are that type instead of their original type, deal 2 damage to any target as you cast this spell. Must have two charge counters to cast"
Gravitational Shift,7,Galdr-Hex,Arcane,"All spells now cost 7-x where x is the spells original mana cost, with a minimum cost of 0. "
Rework Leylines,4,Galdr,Chi,"Expunge all hexes on the board, then create a hex that targeting you for each hex destroyed this way. You may choose to not recreate a hex for each charge counter on this card"
Flow with the Aether,4,Galdr-Hex,Chi,Cantrips hexed player casts cost 1 less to cast. 
Third Eye,4,Galdr-Hex,Chi,Hexed player gets +1 Chamber slot. Hexed player may chamber one card for each charge counter on Third Eye
Support Magic,3,Pro-Can,Chi,"Gain 1 health, add 1 charge counter to a chambered spell, draw 1 card"
Open Chakras,3,Pro-Can,Chi,Expunge target hex
Sheer Will,1,Pro-Can,Chi,Spells you control can't be voided until the end of turn. Draw a card. 
Upswell,2,Galdr,Deep,Each Mystic draws 2 cards. Draw a card for each charge counter on Upswell
Grasping Tentacles,3,Galdr-Hex,Deep,"Whenever a Mystic would draw a card aside from their end of round draw phase, instead they draw two cards"
Riptide,2,Galdr,Deep,Each Mystic draws a card for each charge counter on Riptide. Target Mystic loses life equal to the number of cards in their hand. 
Tidal Flow,2,Pro-Can,Deep,Each Mystic draws 4 cards then discards 3
Seeking Whale-Shark,4,Galdr-Conj,Deep,4 attack 2 HP. Whenever a Mystic draws one or more cards Seeking Whale-Shark may attack that Mystic
Apex Predation,4,Pro-Can,Deep,The Mystic with the most cards in hand draws 2 cards and gains 5 mana
Rejection from the Depths,3,Re-Can,Deep,Void target spell cast by a Mystic with four or more cards in hand
Blackwater,2,Pro-Can,Deep,Draw 1 card. Deal x damage where x is the number of cards you have drawn this turn.
Current Tides,1,Galdr-Hex,Deep,"Whenever the hexed Mystic draws a card you draw a card as well. Any Mystic may pay x mana to expunge Current Tides, where x is 5 plus the number of charge counters on Current Tides."
Tumultuous Flow,3,Re-Can,Deep,Change the target of target spell to any target.
Kraken's Wrath,8,Galdr,Deep,This spell costs 1 mana less for each card you have drawn this turn. Deal 8 damage to up to 8 targets.
Gushing Anozoa,3,Galdr-Conj,Deep,2 attack 1 HP. When you cast this spell destroy each non-Deep beast with power less than the number of cards you have drawn this turn. Gushing Anozoa attacks target attacking beast whenever the beast attacks you
Misguiding Waters,2,Re-Can,Deep,"Until end of turn, whenever you would lose life from another Mystic you may instead discard a card to prevent that damage. Draw a card"
Rumbling Depths,3,Galdr,Deep,Each Mystic draws a card. Deal 6 damage to target Mystic with 5 or more cards in hand.
Aphosis,1,Re-Can,Deep,As an additional cost to cast this spell discard a card. Void target cantrip.
Ripple Effect,3,Galdr-Hex,Deep,Whenever another Mystic draws a card put a charge counter on one of your chambered spells. When Ripple Effect enters play each Mystic draws a card for each charge counter on it when cast.
Benthic Tremors,4,Galdr-Hex,Deep,"You may pay 5-x mana and discard a card to deal 3 damage to any target, where x is the number of charge counters on Benthic Tremors when cast."
Top to Bottom,3,Pro-Can,Deep,"You may discard any number of cards to copy this spell once for each card discarded this way. Draw a card, deal 1 damage to target Mystic"
Overflow,2,Pro-Can,Deep,"Each player draws 2 cards, deal 3 damage to any target"
Deep Blue,10,Galdr,Deep,Target Mystic draws their entire reserves.
Overwhelm,4,Galdr-Hex,Deep,Whenever you draw more than 1 card target Mystic loses 3 life
Oceanic Scouring,3,Pro-Can,Deep,Expunge one hex target Mystic owns for every 3 cards in their hand
Dark Deeds,4,Galdr,Delirium,"Each Player discards 3 cards, and takes damage equal to the number of charge counters on this card"
Mind Muddle,6,Galdr,Delirium,Hexed player cannot cast Re-Cantrips. 
Revel in the Madness,5,Galdr,Delirium,"Take 3 damage, target opponent discards a card or breaks a card in their chamber. Repeat this process any number of times. "
Purge,5,Galdr,Delirium,"As an additional cost, discard your hand. Deal 2 damage for each card discarded this way. Draw cards equal to the number of charge counters on ~. "
Curse of Fifths,0,Galdr-Curse,Delirium,"Draw 5 cards, gain 5 mana, gain ""Curse of Fifths"" which limits the amount of mana in your mana pool to 5, and at the begining of each round makes you lose 5 life"
Burden of Atlas,5,Galdr-Hex,Delirium,Hexed player must pay an additional mana for each charge counter on their chambered spells. Remove a charge counter from any card for each charge counter on this card
Grip of fear,3,Galdr-Hex,Delirium,At the begining of the hexed players turn they take 1 damage for every chambered card they have. Break 1 chambered card if this card has one or more charge counters on it
Mental limiter,4,Galdr-Hex,Delirium,Hexed player's chamber size is reduced by 1
Ambrosia of Darkness,4,Pro-Can,Delirium,Gain control of target Conjuration
Expand Mind,4,Galdr-Hex,Divination,"Increase your chamber size by 2, discard two cards"
Empathetic Coupling,4,Galdr-Hex,Divination,You can look at hexed player's chambered spells at any time
Precision Strike,4,Pro-Can,Divination,Look at target player's chambered cards. Break 1 target chambered card. 
See Through,1,Pro-Can,Divination,"Look at target player's chambered cards, draw a card"
Flash of Insight,0,Pro-Can,Divination,"Look at up to two cards in target player's hand, and or their chambered cards, draw a card"
Knowledge Puddle,1,Re-Can,Divination,"As an additional cost to cast this spell reveal any number of cards from your hand, void target Pro-Can unless the caster reveals more cards from their hand than you revealed this way"
Plan B,1,Re-Can,Divination,"Shuffle the cards from your hand into your reserves, draw that many number of cards plus 1"
Primordial Beast,4,Galdr-Conj,Druidic,"2 damage, 2 HP.  Whenever you cast a druidic spell primordial beast attacks."
Elemental Ants,3,Galdr-Conj,Druidic,"1 damage, 1 HP. When you cast this spell copy it for each charge counter on this card. Whenever a player casts a cantrip Elemental ants can attack that player."
Curse of Nature's Severance,5,Galdr-Curse,Druidic,Affected player cannot cast conjuration spells. This spell must be cast with 3 charge counters on it.
Way of the World,2,Pro-Can,Druidic,Each player gains 2 charge counters and takes 2 damage. Draw a card if you own a beast.
Elemental Falcon,2,Pro-Can-Conj,Druidic,"2 damage, 1 HP. When you cast this spell Elemental Falcon may attack. Whenever you cast a cantrip you may return this card to your hand"
Protective instinct,2,Re-Can,Druidic,Target beast you control deals damage to target attacking beast
