Names,Cost,Card Type,Magic Type,Text
Skip to my Lou Reed,6,Galdr,Arcane,Skip target player's turn. If this card has two or more charge counters on it remove all charge counters from that players chambered cards
Maleficent's Curse,9,Galdr,Arcane,Cursed character dies if they lose a match. 
Up the Stakes,8,Galdr,Arcane,Whoever has a higher life total at the end of this round wins the match. Gain life equal to the number of charge counters on this card
Chromatic Orb,3,Galdr-Hex,Arcane,"Hexed player chooses a magic type, spells cast by that player are that type instead of their original type, deal 2 damage to any target as you cast this spell. Must have two charge counters to cast"
Gravitational Shift,7,Galdr-Hex,Arcane,"All spells now cost 7-x where x is the spells original mana cost, with a minimum cost of 0. "
Rework Leylines,4,Galdr,Ch'i,"Expunge all hexes and Jinxes on the board, then create a hex that targeting you for each hex destroyed this way. You may choose to not recreate a hex for each charge counter on this card"
Flow with the Aether,4,Galdr-Hex,Ch'i,Cantrips hexed player casts cost 1 less to cast. 
Third Eye,3,Galdr-Hex,Ch'i,Hexed player gets +1 Chamber slot and +1 hand size. Hexed player may chamber one card for each charge counter on Third Eye
Support Magic,1,Pro-Can,Ch'i,"Gain 1 health, add 1 charge counter to a chambered spell, draw 1 card"
Open Chakras,3,Pro-Can,Ch'i,Expunge target hex or jinx
Sheer Will,1,Pro-Can,Ch'i,Spells you control can't be voided until the end of turn. Draw a card. 
Strength of Mind,3,Galdr-Hex,Ch'i,"At the beginning of your turn, draw a card."
Life Control,2,Hol-Can,Ch'i,"Until end of turn, your life total can not change"
Healings,2,Pro-Can,Ch'i,"Draw 2 cards, put 1 card from your hand on the bottom of your reserves"
Spirit's Strength,1,Pro-Can,Ch'i,Put target card from your hollows on top of your reserves
Maximum Efficiency,4,Galdr-Hex,Ch'i,"At the end of your turn, draw two cards if you cast exactly 2 spells that turn"
Mind's Vastness,2,Galdr-Hex,Ch'i,"You have no maximum handsize, draw a card if two or more charge counters on Mind's Vastness"
Rebirth,5,Galdr,Ch'i,Change your life total to your starting life total
Energy Stores,4,Galdr-Hex,Ch'i,Put an energy counter on Energy Stores for each charge counter on it when cast. You may pay 1 mana to put a charge counter on this card. Remove a charge counter to add 1 mana.
Self Mastery,2,Re-Can,Ch'i,Void target spell. Cast only if you own 2 or more hexes.
Runic Ovisa,3,Galdr-Conj,Ch'i,0 attack 4 HP. Runic Ovisa counts as a hex. You are warded.
First Cache,1,Galdr-Hex,Ch'i,Expunge First Cache at any time to add 3 mana. Spend this mana only to cast hex spells.
